confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.841666667,1,0.8,0.873333333,1,1
look,0.85,1,0.85,0.896666667,1,1
salad,0.4,0.47,0.9,0.600952381,1,1
corn,0.45,0.516666667,0.933333333,0.634761905,1,1
used,0.95,1,0.966666667,0.98,1,0
fruit,0.178333333,0.373333333,0.7,0.463333333,1,1
green,0.528333333,0.561666667,0.95,0.702380952,1,1
yellow,1,1,1,1,3,0
cucumber,0.476666667,0.476666667,1,0.635,1,1
banana,0.108333333,0.4,0.766666667,0.483809524,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5783333333333334,,,,,,
F1-Score:  0.7270238095238095,,,,,,
Precision:  0.6798333333333333,,,,,,
Recall:  0.8866666666666667,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.825,1,0.816666667,0.886666667,1,1
look,0.841666667,1,0.8,0.873333333,1,1
salad,0.355,0.413333333,0.916666667,0.55047619,1,1
corn,0.258333333,0.441666667,0.783333333,0.545714286,1,1
used,0.8,1,0.883333333,0.926666667,1,0
fruit,0.173333333,0.365,0.75,0.467142857,1,1
green,0.441666667,0.475,0.966666667,0.615714286,1,1
yellow,1,1,1,1,3,0
cucumber,0.433333333,0.5,0.933333333,0.626666667,1,1
banana,0.115,0.4,0.666666667,0.471904762,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5243333333333334,,,,,,
F1-Score:  0.6964285714285714,,,,,,
Precision:  0.6595000000000001,,,,,,
Recall:  0.8516666666666666,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9,1,0.866666667,0.913333333,1,1
look,0.758333333,1,0.766666667,0.843333333,1,1
salad,0.398333333,0.451666667,0.933333333,0.578095238,1,1
corn,0.551666667,0.551666667,1,0.700714286,1,1
used,0.8,1,0.933333333,0.95,1,0
fruit,0.195,0.428333333,0.7,0.508095238,1,1
green,0.366666667,0.475,0.883333333,0.592857143,1,1
yellow,1,1,1,1,3,0
cucumber,0.358333333,0.483333333,0.85,0.597142857,1,1
banana,0.073333333,0.39,0.683333333,0.460952381,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5401666666666667,,,,,,
F1-Score:  0.714452380952381,,,,,,
Precision:  0.6779999999999999,,,,,,
Recall:  0.8616666666666666,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.916666667,1,0.9,0.94,1,1
look,0.791666667,1,0.766666667,0.853333333,1,1
salad,0.198333333,0.44,0.75,0.523809524,1,1
corn,0.345,0.436666667,0.883333333,0.563809524,1,1
used,0.7,1,0.866666667,0.91,1,0
fruit,0.331666667,0.385,0.933333333,0.52,1,1
green,0.376666667,0.435,0.916666667,0.57452381,1,1
yellow,1,1,1,1,3,0
cucumber,0.353333333,0.453333333,0.883333333,0.586666667,1,1
banana,0.328333333,0.503333333,0.816666667,0.587142857,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5341666666666667,,,,,,
F1-Score:  0.7059285714285715,,,,,,
Precision:  0.6653333333333333,,,,,,
Recall:  0.8716666666666665,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.7,1,0.733333333,0.813333333,1,1
look,0.841666667,1,0.816666667,0.876666667,1,1
salad,0.343333333,0.343333333,1,0.498333333,1,1
corn,0.483333333,0.566666667,0.916666667,0.684761905,1,1
used,0.9,1,0.933333333,0.96,1,0
fruit,0.261666667,0.49,0.716666667,0.554285714,1,1
green,0.485,0.551666667,0.933333333,0.670714286,1,1
yellow,1,1,1,1,3,0
cucumber,0.341666667,0.491666667,0.816666667,0.59,1,1
banana,0.208333333,0.35,0.783333333,0.464285714,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5565,,,,,,
F1-Score:  0.7112380952380952,,,,,,
Precision:  0.6793333333333333,,,,,,
Recall:  0.8649999999999999,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.966666667,1,0.95,0.966666667,1,1
look,0.883333333,1,0.85,0.9,1,1
salad,0.455,0.455,1,0.611428571,1,1
corn,0.428333333,0.453333333,0.966666667,0.607142857,1,1
used,0.75,1,0.833333333,0.9,1,0
fruit,0.273333333,0.448333333,0.783333333,0.534761905,1,1
green,0.45,0.508333333,0.933333333,0.63952381,1,1
yellow,1,1,1,1,3,0
cucumber,0.383333333,0.466666667,0.9,0.597619048,1,1
banana,0.178333333,0.361666667,0.8,0.471904762,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5768333333333334,,,,,,
F1-Score:  0.7229047619047618,,,,,,
Precision:  0.6693333333333333,,,,,,
Recall:  0.9016666666666667,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.808333333,1,0.8,0.863333333,1,1
look,0.85,1,0.816666667,0.886666667,1,1
salad,0.34,0.398333333,0.916666667,0.536666667,1,1
corn,0.391666667,0.508333333,0.833333333,0.623333333,1,1
used,0.9,1,0.95,0.966666667,1,0
fruit,0.258333333,0.408333333,0.8,0.506666667,1,1
green,0.383333333,0.475,0.9,0.606190476,1,1
yellow,1,1,1,1,3,0
cucumber,0.433333333,0.525,0.9,0.642857143,1,1
banana,0.275,0.408333333,0.833333333,0.515238095,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5640000000000001,,,,,,
F1-Score:  0.7147619047619047,,,,,,
Precision:  0.6723333333333333,,,,,,
Recall:  0.875,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.916666667,1,0.916666667,0.946666667,1,1
look,0.966666667,1,0.966666667,0.98,1,1
salad,0.373333333,0.423333333,0.9,0.562857143,1,1
corn,0.491666667,0.583333333,0.883333333,0.691904762,1,1
used,0.8,1,0.883333333,0.926666667,1,0
fruit,0.061666667,0.403333333,0.683333333,0.462380952,1,1
green,0.386666667,0.495,0.883333333,0.60952381,1,1
yellow,1,1,1,1,3,0
cucumber,0.391666667,0.483333333,0.883333333,0.61047619,1,1
banana,0.253333333,0.478333333,0.716666667,0.545238095,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5641666666666666,,,,,,
F1-Score:  0.7335714285714285,,,,,,
Precision:  0.6866666666666668,,,,,,
Recall:  0.8716666666666665,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.908333333,1,0.866666667,0.913333333,1,1
look,0.883333333,1,0.85,0.906666667,1,1
salad,0.333333333,0.441666667,0.866666667,0.55952381,1,1
corn,0.45,0.541666667,0.9,0.656190476,1,1
used,0.8,1,0.933333333,0.95,1,0
fruit,0.198333333,0.368333333,0.783333333,0.47047619,1,1
green,0.435,0.468333333,0.966666667,0.610714286,1,1
yellow,1,1,1,1,3,0
cucumber,0.525,0.591666667,0.933333333,0.703809524,1,1
